problem,rows,cols,original_rows,original_cols,nonzeros,sparsity,simplex_iterations,simplex_time,simplex_feasible,simplex_status,highs_iterations,highs_simplex_iterations,highs_time,highs_feasible,highs_status,highs_agrees_with_simplex,iam1_iterations,iam1_time,iam1_feasible,iam1_status,iam1_agrees_with_simplex,pan_row_scaled_iterations,pan_row_scaled_time,pan_row_scaled_feasible,pan_row_scaled_status,pan_row_scaled_agrees_with_simplex,simplex_agrees_with_highs,iam1_agrees_with_highs,pan_row_scaled_agrees_with_highs
NAME          DEGEN3,2210,1808,1503,2604,28165,0.0070488627717935,6000,7094.791558265686,False,max_iterations,2168,2168,0.5941085815429688,True,feasible,False,6000,2098.0928621292114,False,max_iterations,True,6000,1888.6003074646,False,max_iterations,True,False,False,False
NAME          STOCFOR2,3171,1902,2157,3045,12304,0.0020400441567425,1095,2097.3725521564484,True,feasible,1149,1149,0.2815005779266357,True,feasible,True,1445,548.3796594142914,True,feasible,True,1169,547.5668733119965,True,feasible,True,True,True,True
NAME          SHIP12S,2196,2763,1151,2869,13485,0.0022224793277284,157,169.40882420539856,False,infeasible,28,28,0.1879255771636963,False,infeasible,True,37,14.305994510650637,False,infeasible,True,24,11.677001476287842,False,infeasible,True,True,True,True
NAME          SHIP08L,1476,4283,778,4363,21213,0.003355580485527,85,49.49651789665222,False,infeasible,21,21,0.1879043579101562,False,infeasible,True,19,7.662322044372559,False,infeasible,True,20,10.131924152374268,False,infeasible,True,True,True,True
NAME          SHIP12L,2196,5427,1151,5533,26805,0.0022491771057684,157,213.0292692184448,False,infeasible,28,28,0.3593764305114746,False,infeasible,True,37,28.39035964012146,False,infeasible,True,24,22.935415983200077,False,infeasible,True,True,True,True
NAME          BNL2,3538,3376,2324,4486,20529,0.0017187294881034,1606,5902.473264932632,False,infeasible,590,590,0.503974199295044,False,infeasible,True,294,335.2805390357971,False,infeasible,True,23,33.48456001281738,False,infeasible,True,True,True,True
NAME          D2Q06C,2867,4356,2171,5831,43693,0.0034986161837162,6000,16547.061909914017,False,max_iterations,3172,3172,7.570059061050415,False,infeasible,True,209,172.2763204574585,False,infeasible,True,4,4.975146770477295,False,infeasible,True,True,True,True
NAME          WOODW,2015,8237,1098,8418,63041,0.0037982100375627,385,558.5896186828613,False,infeasible,172,172,0.5815608501434326,False,infeasible,True,30,33.14832520484924,False,infeasible,True,37,53.29353857040405,False,infeasible,True,True,True,True
NAME          TRUSS,1996,8802,1000,8806,55576,0.00316333644339349,6000,10240.41911482811,False,max_iterations,1553,1553,1.0164849758148193,True,feasible,False,3214,5090.961563110352,True,feasible,False,6000,10223.219559192657,False,max_iterations,True,False,True,False
NAME          QAP12,6384,8856,3192,8856,76608,0.0013550135501355014,0,0.0,True,feasible,0,0,2.3768467903137207,True,feasible,True,0,3.6556828022003174,True,feasible,True,0,3.677614450454712,True,feasible,True,True,True,True
